item,itemLabel,country_of_citizenshipLabel,linkcount,date_of_birth,place_of_birth,place_of_birthLabel,field_of_workLabel,date_of_death
http://www.wikidata.org/entity/Q508184,Rebecca Miller,United States of America,16,1962-09-15T00:00:00Z,http://www.wikidata.org/entity/Q2076302,Roxbury,,
http://www.wikidata.org/entity/Q660610,Kika Karadi,United States of America,3,1975-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1781,Budapest,,
http://www.wikidata.org/entity/Q1250269,Dorothy Brett,United States of America,7,1883-11-10T00:00:00Z,http://www.wikidata.org/entity/Q84,London,,1977-08-24T00:00:00Z
http://www.wikidata.org/entity/Q515745,Pamela Colman Smith,United States of America,16,1878-02-16T00:00:00Z,http://www.wikidata.org/entity/Q123306,Pimlico,,1951-09-18T00:00:00Z
http://www.wikidata.org/entity/Q530367,Lee Lozano,United States of America,8,1930-11-05T00:00:00Z,http://www.wikidata.org/entity/Q25395,Newark,,1999-10-02T00:00:00Z
http://www.wikidata.org/entity/Q530639,Hazel Lavery,United States of America,5,1880-03-14T00:00:00Z,http://www.wikidata.org/entity/Q1297,Chicago,,1935-01-01T00:00:00Z
http://www.wikidata.org/entity/Q464044,Katherine Sophie Dreier,United States of America,12,1877-09-10T00:00:00Z,http://www.wikidata.org/entity/Q18419,Brooklyn,,1952-03-29T00:00:00Z
http://www.wikidata.org/entity/Q976244,Lisel Salzer,United States of America,2,1906-08-26T00:00:00Z,http://www.wikidata.org/entity/Q1741,Vienna,,2005-12-07T00:00:00Z
http://www.wikidata.org/entity/Q775149,Ruth Kligman,United States of America,7,1930-01-25T00:00:00Z,http://www.wikidata.org/entity/Q25395,Newark,,2010-03-01T00:00:00Z
http://www.wikidata.org/entity/Q868247,Colette Carr,United States of America,9,1991-01-06T00:00:00Z,http://www.wikidata.org/entity/Q65,Los Angeles,musical composition,
http://www.wikidata.org/entity/Q465777,Vija Celmins,United States of America,9,1938-10-25T00:00:00Z,http://www.wikidata.org/entity/Q1773,Riga,,
http://www.wikidata.org/entity/Q1326979,Alisa Margolis,United States of America,4,1975-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1899,Kiev,,
http://www.wikidata.org/entity/Q466051,Alia Shawkat,United States of America,25,1989-04-18T00:00:00Z,http://www.wikidata.org/entity/Q49243,Riverside,,
http://www.wikidata.org/entity/Q466607,Romaine Brooks,United States of America,21,1874-05-01T00:00:00Z,http://www.wikidata.org/entity/Q220,Rome,,1970-12-07T00:00:00Z
http://www.wikidata.org/entity/Q976244,Lisel Salzer,Austria,2,1906-08-26T00:00:00Z,http://www.wikidata.org/entity/Q1741,Vienna,,2005-12-07T00:00:00Z
http://www.wikidata.org/entity/Q565848,Anne Truitt,United States of America,6,1921-03-16T00:00:00Z,http://www.wikidata.org/entity/Q5092,Baltimore,,2004-12-23T00:00:00Z
http://www.wikidata.org/entity/Q519973,Grace Renzi,United States of America,5,1922-09-09T00:00:00Z,http://www.wikidata.org/entity/Q18424,Queens,,2011-06-04T00:00:00Z
http://www.wikidata.org/entity/Q540665,Françoise Gilot,France,15,1921-11-26T00:00:00Z,http://www.wikidata.org/entity/Q48958,Neuilly-sur-Seine,,
http://www.wikidata.org/entity/Q514218,Huguette Marcelle Clark,United States of America,8,1906-06-09T00:00:00Z,http://www.wikidata.org/entity/Q90,Paris,,2011-05-24T00:00:00Z
